batch_size,N,K,split_k,kernel,op_class,cta_m,cta_n,cta_k,gflops,tflops,num_tiles
128,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,3014.92,3.01492,4
256,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,5923.26,5.92326,4
384,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,8827.41,8.82741,8
512,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,11820.2,11.820200000000002,8
640,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,14514.6,14.5146,12
768,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,17811.2,17.8112,12
896,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,20406.4,20.4064,16
1024,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,23389.4,23.389400000000002,16
1152,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,25828.3,25.8283,20
1280,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,28512.0,28.512,20
1408,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,31680.4,31.680400000000002,24
1536,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,34165.2,34.1652,24
1664,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,36763.8,36.7638,28
1792,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,39370.8,39.3708,28
1920,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,41454.5,41.4545,32
2048,512,512,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,44204.8,44.204800000000006,32
128,1024,4096,8,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,20210.2,20.2102,8
256,1024,4096,8,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,39717.7,39.717699999999994,8
384,1024,4096,8,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,55729.6,55.7296,16
512,1024,4096,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,73264.4,73.2644,16
640,1024,4096,8,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,67579.1,67.57910000000001,24
768,1024,4096,8,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,77304.7,77.3047,24
896,1024,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,83127.5,83.1275,32
1024,1024,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,93208.5,93.2085,32
1152,1024,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,102593.0,102.593,40
1280,1024,4096,8,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,75770.9,75.7709,40
1408,1024,4096,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,81671.2,81.6712,48
1536,1024,4096,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,87223.2,87.22319999999999,48
1664,1024,4096,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,90139.4,90.1394,56
1792,1024,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,89721.6,89.72160000000001,56
1920,1024,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,94400.8,94.4008,64
2048,1024,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,100167.0,100.167,64
128,4096,1024,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,32088.4,32.0884,32
256,4096,1024,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,61088.7,61.088699999999996,32
384,4096,1024,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,58498.0,58.498,64
512,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,75701.4,75.70139999999999,64
640,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,58091.7,58.091699999999996,96
768,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,70998.9,70.99889999999999,96
896,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,81914.6,81.91460000000001,128
1024,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,92330.2,92.33019999999999,128
1152,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,97718.3,97.7183,160
1280,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,75434.8,75.43480000000001,160
1408,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,83686.5,83.6865,192
1536,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,88612.2,88.6122,192
1664,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,93976.1,93.9761,224
1792,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,79418.9,79.4189,224
1920,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,81154.6,81.1546,256
2048,4096,1024,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,89868.7,89.8687,256
128,4096,4096,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,54406.4,54.406400000000005,32
256,4096,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,86375.0,86.375,32
384,4096,4096,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,84233.0,84.233,64
512,4096,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,101298.0,101.298,64
640,4096,4096,4,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,74987.0,74.987,96
768,4096,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,90222.1,90.22210000000001,96
896,4096,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,85039.9,85.03989999999999,128
1024,4096,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,97233.3,97.2333,128
1152,4096,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,100404.0,100.404,160
1280,4096,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,82924.8,82.9248,160
1408,4096,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,90205.4,90.2054,192
1536,4096,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,90946.5,90.9465,192
1664,4096,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,95104.1,95.1041,224
1792,4096,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,83182.1,83.1821,224
1920,4096,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,85976.5,85.9765,256
2048,4096,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,89372.0,89.372,256
128,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,68564.3,68.5643,112
256,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,78727.6,78.72760000000001,112
384,14336,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,81134.1,81.1341,224
512,14336,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,81239.5,81.2395,224
640,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,88521.7,88.5217,336
768,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,90322.9,90.32289999999999,336
896,14336,4096,2,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,88659.5,88.6595,448
1024,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,87932.2,87.9322,448
1152,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,92231.1,92.23110000000001,560
1280,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,90938.8,90.9388,560
1408,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,90376.6,90.37660000000001,672
1536,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,89967.0,89.967,672
1664,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,88802.9,88.8029,784
1792,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,93583.4,93.5834,784
1920,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,91836.2,91.83619999999999,896
2048,14336,4096,1,cutlass_tensorop_h1688gemm_256x128_32x2_nn_align8,tensorop,256,128,32,91351.8,91.3518,896
