batch_size,N,K,library,tflops
128,512,512,cublas,6.18446
256,512,512,cublas,8.52986
384,512,512,cublas,11.3815
512,512,512,cublas,14.3177
640,512,512,cublas,16.9237
768,512,512,cublas,20.668
896,512,512,cublas,23.7024
1024,512,512,cublas,25.7398
1152,512,512,cublas,29.493
1280,512,512,cublas,34.8799
1408,512,512,cublas,37.0183
1536,512,512,cublas,40.2196
1664,512,512,cublas,44.3488
1792,512,512,cublas,46.9146
1920,512,512,cublas,50.6509
2048,512,512,cublas,52.6509
128,4096,4096,cublas,56.888
256,4096,4096,cublas,85.3688
384,4096,4096,cublas,73.2548
512,4096,4096,cublas,95.1833
640,4096,4096,cublas,66.8578
768,4096,4096,cublas,79.7621
896,4096,4096,cublas,73.8024
1024,4096,4096,cublas,84.4821
1152,4096,4096,cublas,99.804
1280,4096,4096,cublas,85.1746
1408,4096,4096,cublas,88.1671
1536,4096,4096,cublas,95.1013
1664,4096,4096,cublas,100.786
1792,4096,4096,cublas,85.9057
1920,4096,4096,cublas,91.0411
2048,4096,4096,cublas,94.7195
128,14336,4096,cublas,59.43
256,14336,4096,cublas,73.804
384,14336,4096,cublas,85.4824
512,14336,4096,cublas,86.8895
640,14336,4096,cublas,95.8121
768,14336,4096,cublas,97.9925
896,14336,4096,cublas,96.2595
1024,14336,4096,cublas,95.9875
1152,14336,4096,cublas,100.353
1280,14336,4096,cublas,101.546
1408,14336,4096,cublas,100.135
1536,14336,4096,cublas,98.8399
1664,14336,4096,cublas,96.7629
1792,14336,4096,cublas,100.328
1920,14336,4096,cublas,100.515
2048,14336,4096,cublas,99.6682
128,4096,1024,cublas,36.29
256,4096,1024,cublas,65.0179
384,4096,1024,cublas,68.2283
512,4096,1024,cublas,86.9162
640,4096,1024,cublas,70.69
768,4096,1024,cublas,71.9196
896,4096,1024,cublas,82.6714
1024,4096,1024,cublas,93.7245
1152,4096,1024,cublas,103.257
1280,4096,1024,cublas,83.7044
1408,4096,1024,cublas,90.9722
1536,4096,1024,cublas,92.2262
1664,4096,1024,cublas,99.514
1792,4096,1024,cublas,86.6593
